Country,Date,Cases,Deaths
Liberia,17/4/2015,10042,4486
Spain,17/4/2015,1,0
Mali,17/4/2015,8,6
Sierra Leone,17/4/2015,12244,3865
United Kingdom,20/4/2015,1,0
Mali,20/4/2015,8,6
Sierra Leone,20/4/2015,12256,3872
Senegal,20/4/2015,1,0
Guinea,20/4/2015,3565,2357
Liberia,20/4/2015,10042,4486
Nigeria,20/4/2015,20,8
Spain,20/4/2015,1,0
United States of America,20/4/2015,4,1
Spain,21/4/2015,1,0
Liberia,21/4/2015,10042,4486
Nigeria,21/4/2015,20,8
Mali,21/4/2015,8,6
Senegal,21/4/2015,1,0
United States of America,21/4/2015,4,1
Guinea,21/4/2015,3565,2358
United Kingdom,21/4/2015,1,0
Sierra Leone,21/4/2015,12265,3877
United Kingdom,22/4/2015,1,0
Spain,22/4/2015,1,0
Sierra Leone,22/4/2015,12267,3877
Mali,22/4/2015,8,6
United States of America,22/4/2015,4,1
Guinea,22/4/2015,3565,2358
Senegal,22/4/2015,1,0
Liberia,22/4/2015,10212,4573
Nigeria,22/4/2015,20,8
Mali,23/4/2015,8,6
United Kingdom,23/4/2015,1,0
Liberia,23/4/2015,10212,4573
Guinea,23/4/2015,3568,2362
Nigeria,23/4/2015,20,8
Spain,23/4/2015,1,0
Sierra Leone,23/4/2015,12294,3885
United States of America,23/4/2015,4,1
Senegal,23/4/2015,1,0
Spain,24/4/2015,1,0
United Kingdom,24/4/2015,1,0
Mali,24/4/2015,8,6
Nigeria,24/4/2015,20,8
United States of America,24/4/2015,4,1
Liberia,24/4/2015,10212,4573
Guinea,24/4/2015,3576,2365
Sierra Leone,24/4/2015,12313,3886
Senegal,24/4/2015,1,0
United Kingdom,27/4/2015,1,0
Spain,27/4/2015,1,0
Mali,27/4/2015,8,6
Liberia,27/4/2015,10212,4573
Nigeria,27/4/2015,20,8
United States of America,27/4/2015,4,1
Sierra Leone,27/4/2015,12362,3895
Guinea,27/4/2015,3585,2374
Senegal,27/4/2015,1,0
Sierra Leone,28/4/2015,12371,3899
Nigeria,28/4/2015,20,8
Guinea,28/4/2015,3584,2377
Senegal,28/4/2015,1,0
United Kingdom,28/4/2015,1,0
Spain,28/4/2015,1,0
United States of America,28/4/2015,4,1
Liberia,28/4/2015,10322,4608
Mali,28/4/2015,8,6
Senegal,30/4/2015,1,0
Guinea,30/4/2015,3581,2381
United States of America,30/4/2015,4,1
Spain,30/4/2015,1,0
United Kingdom,30/4/2015,1,0
Nigeria,30/4/2015,20,8
Mali,30/4/2015,8,6
Sierra Leone,30/4/2015,12387,3901
Liberia,30/4/2015,10322,4608
Sierra Leone,1/5/2015,12398,3901
Mali,1/5/2015,8,6
Nigeria,1/5/2015,20,8
United States of America,1/5/2015,4,1
Guinea,1/5/2015,3578,2383
Senegal,1/5/2015,1,0
Liberia,1/5/2015,10322,4608
United Kingdom,1/5/2015,1,0
Spain,1/5/2015,1,0
United Kingdom,4/5/2015,1,0
Sierra Leone,4/5/2015,12426,3902
Liberia,4/5/2015,10322,4608
Mali,4/5/2015,8,6
Nigeria,4/5/2015,20,8
United States of America,4/5/2015,4,1
Spain,4/5/2015,1,0
Senegal,4/5/2015,1,0
Guinea,4/5/2015,3591,2385
Mali,5/5/2015,8,6
Spain,5/5/2015,1,0
Liberia,5/5/2015,10507,4691
United States of America,5/5/2015,4,1
Nigeria,5/5/2015,20,8
Sierra Leone,5/5/2015,12440,3903
United Kingdom,5/5/2015,1,0
Senegal,5/5/2015,1,0
Guinea,5/5/2015,3589,2386
Guinea,6/5/2015,3589,2386
Liberia,6/5/2015,10564,4716
United Kingdom,6/5/2015,1,0
Nigeria,6/5/2015,20,8
Mali,6/5/2015,8,6
United States of America,6/5/2015,4,1
Sierra Leone,6/5/2015,12440,3903
Senegal,6/5/2015,1,0
Spain,6/5/2015,1,0
Liberia,7/5/2015,10564,4716
Spain,7/5/2015,1,0
Mali,7/5/2015,8,6
Sierra Leone,7/5/2015,12470,3904
United States of America,7/5/2015,4,1
United Kingdom,7/5/2015,1,0
Senegal,7/5/2015,1,0
Guinea,7/5/2015,3592,2387
Nigeria,7/5/2015,20,8
Senegal,8/5/2015,1,0
Spain,8/5/2015,1,0
Sierra Leone,8/5/2015,12492,3904
United States of America,8/5/2015,4,1
Nigeria,8/5/2015,20,8
Liberia,8/5/2015,10564,4716
United Kingdom,8/5/2015,1,0
Mali,8/5/2015,8,6
Guinea,8/5/2015,3592,2387
United Kingdom,11/5/2015,1,0
Guinea,11/5/2015,3599,2391
Senegal,11/5/2015,1,0
United States of America,11/5/2015,4,1
Spain,11/5/2015,1,0
Mali,11/5/2015,8,6
Liberia,11/5/2015,10604,4769
Nigeria,11/5/2015,20,8
Sierra Leone,11/5/2015,12519,3904
Senegal,12/5/2015,1,0
Mali,12/5/2015,8,6
Liberia,12/5/2015,10604,4769
United States of America,12/5/2015,4,1
United Kingdom,12/5/2015,1,0
Sierra Leone,12/5/2015,12523,3904
Nigeria,12/5/2015,20,8
Guinea,12/5/2015,3597,2392
Spain,12/5/2015,1,0
Sierra Leone,13/5/2015,12519,3904
United Kingdom,13/5/2015,1,0
Senegal,13/5/2015,1,0
Nigeria,13/5/2015,20,8
Spain,13/5/2015,1,0
Liberia,13/5/2015,10604,4769
Mali,13/5/2015,8,6
Guinea,13/5/2015,3599,2391
United States of America,13/5/2015,4,1
Nigeria,14/5/2015,20,8
Spain,14/5/2015,1,0
Liberia,14/5/2015,10604,4769
United States of America,14/5/2015,4,1
Mali,14/5/2015,8,6
Guinea,14/5/2015,3615,2399
Senegal,14/5/2015,1,0
United Kingdom,14/5/2015,1,0
Sierra Leone,14/5/2015,12536,3904
Italy,14/5/2015,1,0
Mali,15/5/2015,8,6
Guinea,15/5/2015,3619,2401
Sierra Leone,15/5/2015,12540,3904
Nigeria,15/5/2015,20,8
United Kingdom,15/5/2015,1,0
Italy,15/5/2015,1,0
Spain,15/5/2015,1,0
United States of America,15/5/2015,4,1
Senegal,15/5/2015,1,0
Liberia,15/5/2015,10604,4769
Nigeria,18/5/2015,20,8
Spain,18/5/2015,1,0
Sierra Leone,18/5/2015,12593,3906
United Kingdom,18/5/2015,1,0
Liberia,18/5/2015,10666,4806
Senegal,18/5/2015,1,0
Italy,18/5/2015,1,0
Mali,18/5/2015,8,6
United States of America,18/5/2015,4,1
Guinea,18/5/2015,3626,2405
Mali,19/5/2015,8,6
Italy,19/5/2015,1,0
Guinea,19/5/2015,3635,2407
Sierra Leone,19/5/2015,12632,3907
Spain,19/5/2015,1,0
Nigeria,19/5/2015,20,8
United Kingdom,19/5/2015,1,0
United States of America,19/5/2015,4,1
Liberia,19/5/2015,10666,4806
Senegal,19/5/2015,1,0
Spain,20/5/2015,1,0
United Kingdom,20/5/2015,1,0
Sierra Leone,20/5/2015,12632,3907
Senegal,20/5/2015,1,0
Nigeria,20/5/2015,20,8
Italy,20/5/2015,1,0
Guinea,20/5/2015,3635,2407
Mali,20/5/2015,8,6
Liberia,20/5/2015,10666,4806
United States of America,20/5/2015,4,1
Liberia,21/5/2015,10666,4806
Italy,21/5/2015,1,0
Spain,21/5/2015,1,0
Sierra Leone,21/5/2015,12656,3907
Nigeria,21/5/2015,20,8
Senegal,21/5/2015,1,0
Mali,21/5/2015,8,6
United Kingdom,21/5/2015,1,0
Guinea,21/5/2015,3649,2409
United States of America,21/5/2015,4,1
Spain,22/5/2015,1,0
Mali,22/5/2015,8,6
Liberia,22/5/2015,10666,4806
Italy,22/5/2015,1,0
United States of America,22/5/2015,4,1
Sierra Leone,22/5/2015,12666,3907
Guinea,22/5/2015,3647,2412
Nigeria,22/5/2015,20,8
United Kingdom,22/5/2015,1,0
Senegal,22/5/2015,1,0
Nigeria,25/5/2015,20,8
Italy,25/5/2015,1,0
United Kingdom,25/5/2015,1,0
United States of America,25/5/2015,4,1
Mali,25/5/2015,8,6
Spain,25/5/2015,1,0
Senegal,25/5/2015,1,0
Liberia,25/5/2015,10666,4806
Guinea,25/5/2015,3640,2418
Sierra Leone,25/5/2015,12696,3908
Nigeria,26/5/2015,20,8
Senegal,26/5/2015,1,0
Guinea,26/5/2015,3641,2420
Mali,26/5/2015,8,6
Italy,26/5/2015,1,0
Spain,26/5/2015,1,0
Sierra Leone,26/5/2015,12706,3908
United Kingdom,26/5/2015,1,0
Liberia,26/5/2015,10666,4806
United States of America,26/5/2015,4,1
Mali,27/5/2015,8,6
Italy,27/5/2015,1,0
Guinea,27/5/2015,3641,2420
Nigeria,27/5/2015,20,8
Sierra Leone,27/5/2015,12706,3908
United States of America,27/5/2015,4,1
Liberia,27/5/2015,10666,4806
Spain,27/5/2015,1,0
United Kingdom,27/5/2015,1,0
Senegal,27/5/2015,1,0
Italy,28/5/2015,1,0
Mali,28/5/2015,8,6
United States of America,28/5/2015,4,1
Liberia,28/5/2015,10666,4806
Spain,28/5/2015,1,0
Senegal,28/5/2015,1,0
Nigeria,28/5/2015,20,8
Guinea,28/5/2015,3639,2423
United Kingdom,28/5/2015,1,0
Sierra Leone,28/5/2015,12735,3911
Guinea,29/5/2015,3644,2425
United Kingdom,29/5/2015,1,0
Liberia,29/5/2015,10666,4806
United States of America,29/5/2015,4,1
Italy,29/5/2015,1,0
Sierra Leone,29/5/2015,12745,3911
Nigeria,29/5/2015,20,8
Spain,29/5/2015,1,0
Senegal,29/5/2015,1,0
Mali,29/5/2015,8,6
United Kingdom,1/6/2015,1,0
United States of America,1/6/2015,4,1
Sierra Leone,1/6/2015,12816,3911
Nigeria,1/6/2015,20,8
Spain,1/6/2015,1,0
Senegal,1/6/2015,1,0
Italy,1/6/2015,1,0
Guinea,1/6/2015,3653,2428
Liberia,1/6/2015,10666,4806
Mali,1/6/2015,8,6
Sierra Leone,2/6/2015,12827,3912
Nigeria,2/6/2015,20,8
Senegal,2/6/2015,1,0
Guinea,2/6/2015,3652,2429
Mali,2/6/2015,8,6
United States of America,2/6/2015,4,1
Liberia,2/6/2015,10666,4806
Spain,2/6/2015,1,0
Italy,2/6/2015,1,0
United Kingdom,2/6/2015,1,0
United States of America,3/6/2015,4,1
United Kingdom,3/6/2015,1,0
Senegal,3/6/2015,1,0
Nigeria,3/6/2015,20,8
Sierra Leone,3/6/2015,12827,3912
Italy,3/6/2015,1,0
Guinea,3/6/2015,3652,2429
Spain,3/6/2015,1,0
Mali,3/6/2015,8,6
Liberia,3/6/2015,10666,4806
Guinea,4/6/2015,3657,2431
Sierra Leone,4/6/2015,12850,3912
United States of America,4/6/2015,4,1
Spain,4/6/2015,1,0
Mali,4/6/2015,8,6
Senegal,4/6/2015,1,0
Liberia,4/6/2015,10666,4806
Nigeria,4/6/2015,20,8
United Kingdom,4/6/2015,1,0
Italy,4/6/2015,1,0
United Kingdom,5/6/2015,1,0
Guinea,5/6/2015,3664,2431
Italy,5/6/2015,1,0
United States of America,5/6/2015,4,1
Spain,5/6/2015,1,0
Senegal,5/6/2015,1,0
Liberia,5/6/2015,10666,4806
Nigeria,5/6/2015,20,8
Mali,5/6/2015,8,6
Sierra Leone,5/6/2015,12859,3912
Senegal,8/6/2015,1,0
Nigeria,8/6/2015,20,8
Sierra Leone,8/6/2015,12884,3913
United States of America,8/6/2015,4,1
Spain,8/6/2015,1,0
Guinea,8/6/2015,3669,2435
Liberia,8/6/2015,10666,4806
Italy,8/6/2015,1,0
Mali,8/6/2015,8,6
United Kingdom,8/6/2015,1,0
Sierra Leone,9/6/2015,12901,3915
Spain,9/6/2015,1,0
Liberia,9/6/2015,10666,4806
United States of America,9/6/2015,4,1
United Kingdom,9/6/2015,1,0
Guinea,9/6/2015,3670,2437
Mali,9/6/2015,8,6
Nigeria,9/6/2015,20,8
Senegal,9/6/2015,1,0
Italy,9/6/2015,1,0
Mali,10/6/2015,8,6
United Kingdom,10/6/2015,1,0
Senegal,10/6/2015,1,0
Italy,10/6/2015,1,0
Spain,10/6/2015,1,0
United States of America,10/6/2015,4,1
Liberia,10/6/2015,10666,4806
Guinea,10/6/2015,3670,2437
Nigeria,10/6/2015,20,8
Sierra Leone,10/6/2015,12901,3915
Italy,11/6/2015,1,0
United States of America,11/6/2015,4,1
Guinea,11/6/2015,3674,2440
Spain,11/6/2015,1,0
Mali,11/6/2015,8,6
Nigeria,11/6/2015,20,8
Senegal,11/6/2015,1,0
Liberia,11/6/2015,10666,4806
United Kingdom,11/6/2015,1,0
Sierra Leone,11/6/2015,12911,3917
Liberia,12/6/2015,10666,4806
Guinea,12/6/2015,3677,2440
Nigeria,12/6/2015,20,8
Mali,12/6/2015,8,6
Spain,12/6/2015,1,0
United States of America,12/6/2015,4,1
Sierra Leone,12/6/2015,12932,3917
United Kingdom,12/6/2015,1,0
Italy,12/6/2015,1,0
Senegal,12/6/2015,1,0
Spain,15/6/2015,1,0
United States of America,15/6/2015,4,1
Mali,15/6/2015,8,6
Guinea,15/6/2015,3677,2443
Liberia,15/6/2015,10666,4806
Italy,15/6/2015,1,0
Sierra Leone,15/6/2015,12962,3919
Nigeria,15/6/2015,20,8
United Kingdom,15/6/2015,1,0
Senegal,15/6/2015,1,0
Guinea,16/6/2015,3678,2444
Liberia,16/6/2015,10666,4806
Mali,16/6/2015,8,6
United Kingdom,16/6/2015,1,0
Sierra Leone,16/6/2015,12965,3919
United States of America,16/6/2015,4,1
Senegal,16/6/2015,1,0
Italy,16/6/2015,1,0
Nigeria,16/6/2015,20,8
Spain,16/6/2015,1,0
United States of America,17/6/2015,4,1
Sierra Leone,17/6/2015,12965,3919
Nigeria,17/6/2015,20,8
United Kingdom,17/6/2015,1,0
Italy,17/6/2015,1,0
Senegal,17/6/2015,1,0
Spain,17/6/2015,1,0
Mali,17/6/2015,8,6
Guinea,17/6/2015,3674,2444
Liberia,17/6/2015,10666,4806
Sierra Leone,18/6/2015,12990,3922
Liberia,18/6/2015,10666,4806
United States of America,18/6/2015,4,1
Italy,18/6/2015,1,0
Senegal,18/6/2015,1,0
United Kingdom,18/6/2015,1,0
Spain,18/6/2015,1,0
Nigeria,18/6/2015,20,8
Guinea,18/6/2015,3675,2445
Mali,18/6/2015,8,6
Mali,19/6/2015,8,6
Sierra Leone,19/6/2015,13012,3926
Nigeria,19/6/2015,20,8
Spain,19/6/2015,1,0
United States of America,19/6/2015,4,1
Senegal,19/6/2015,1,0
United Kingdom,19/6/2015,1,0
Italy,19/6/2015,1,0
Liberia,19/6/2015,10666,4806
Guinea,19/6/2015,3674,2446
Liberia,22/6/2015,10666,4806
Spain,22/6/2015,1,0
United Kingdom,22/6/2015,1,0
Italy,22/6/2015,1,0
Guinea,22/6/2015,3698,2456
Sierra Leone,22/6/2015,13051,3928
Mali,22/6/2015,8,6
United States of America,22/6/2015,4,1
Nigeria,22/6/2015,20,8
Senegal,22/6/2015,1,0
Italy,23/6/2015,1,0
Sierra Leone,23/6/2015,13059,3928
Liberia,23/6/2015,10666,4806
United Kingdom,23/6/2015,1,0
Nigeria,23/6/2015,20,8
Senegal,23/6/2015,1,0
United States of America,23/6/2015,4,1
Spain,23/6/2015,1,0
Mali,23/6/2015,8,6
Guinea,23/6/2015,3718,2473
United States of America,24/6/2015,4,1
Sierra Leone,24/6/2015,13059,3928
Senegal,24/6/2015,1,0
United Kingdom,24/6/2015,1,0
Guinea,24/6/2015,3718,2473
Liberia,24/6/2015,10666,4806
Mali,24/6/2015,8,6
Italy,24/6/2015,1,0
Nigeria,24/6/2015,20,8
Spain,24/6/2015,1,0
Nigeria,25/6/2015,20,8
Sierra Leone,25/6/2015,13083,3931
Senegal,25/6/2015,1,0
Mali,25/6/2015,8,6
Spain,25/6/2015,1,0
United Kingdom,25/6/2015,1,0
Liberia,25/6/2015,10666,4806
United States of America,25/6/2015,4,1
Guinea,25/6/2015,3718,2480
Italy,25/6/2015,1,0
Guinea,26/6/2015,3720,2480
Spain,26/6/2015,1,0
Senegal,26/6/2015,1,0
Italy,26/6/2015,1,0
Sierra Leone,26/6/2015,13093,3931
Liberia,26/6/2015,10666,4806
United Kingdom,26/6/2015,1,0
Mali,26/6/2015,8,6
Nigeria,26/6/2015,20,8
United States of America,26/6/2015,4,1
Senegal,29/6/2015,1,0
United Kingdom,29/6/2015,1,0
Nigeria,29/6/2015,20,8
Guinea,29/6/2015,3724,2482
Sierra Leone,29/6/2015,13115,3932
Mali,29/6/2015,8,6
Spain,29/6/2015,1,0
Liberia,29/6/2015,10666,4806
United States of America,29/6/2015,4,1
Italy,29/6/2015,1,0
United Kingdom,30/6/2015,1,0
Mali,30/6/2015,8,6
Liberia,30/6/2015,10666,4806
Sierra Leone,30/6/2015,13119,3932
Italy,30/6/2015,1,0
Senegal,30/6/2015,1,0
Guinea,30/6/2015,3729,2482
Spain,30/6/2015,1,0
Nigeria,30/6/2015,20,8
United States of America,30/6/2015,4,1
Sierra Leone,1/7/2015,13119,3932
Senegal,1/7/2015,1,0
Spain,1/7/2015,1,0
United Kingdom,1/7/2015,1,0
Guinea,1/7/2015,3729,2482
Italy,1/7/2015,1,0
Liberia,1/7/2015,10666,4806
United States of America,1/7/2015,4,1
Nigeria,1/7/2015,20,8
Mali,1/7/2015,8,6
Senegal,2/7/2015,1,0
Italy,2/7/2015,1,0
Liberia,2/7/2015,10666,4806
Guinea,2/7/2015,3745,2490
United States of America,2/7/2015,4,1
Spain,2/7/2015,1,0
Nigeria,2/7/2015,20,8
Mali,2/7/2015,8,6
Sierra Leone,2/7/2015,13129,3933
United Kingdom,2/7/2015,1,0
Liberia,3/7/2015,10666,4806
United Kingdom,3/7/2015,1,0
Nigeria,3/7/2015,20,8
Senegal,3/7/2015,1,0
United States of America,3/7/2015,4,1
Guinea,3/7/2015,3750,2492
Italy,3/7/2015,1,0
Liberia,3/7/2015,40,5
Spain,3/7/2015,1,0
Mali,3/7/2015,8,6
Sierra Leone,3/7/2015,13135,3935
United Kingdom,6/7/2015,1,0
Spain,6/7/2015,1,0
Guinea,6/7/2015,3744,2498
United States of America,6/7/2015,4,1
Liberia,6/7/2015,4,1
Nigeria,6/7/2015,20,8
Mali,6/7/2015,8,6
Sierra Leone,6/7/2015,13150,3940
Senegal,6/7/2015,1,0
Liberia,6/7/2015,10666,4806
Italy,6/7/2015,1,0
Italy,7/7/2015,1,0
Spain,7/7/2015,1,0
Liberia,7/7/2015,4,1
Nigeria,7/7/2015,20,8
United States of America,7/7/2015,4,1
Sierra Leone,7/7/2015,13155,3940
Senegal,7/7/2015,1,0
Liberia,7/7/2015,10666,4806
Guinea,7/7/2015,3748,2499
Mali,7/7/2015,8,6
United Kingdom,7/7/2015,1,0
Nigeria,8/7/2015,20,8
Liberia,8/7/2015,4,1
United States of America,8/7/2015,4,1
Spain,8/7/2015,1,0
Sierra Leone,8/7/2015,13155,3940
Mali,8/7/2015,8,6
United Kingdom,8/7/2015,1,0
Guinea,8/7/2015,3748,2499
Italy,8/7/2015,1,0
Senegal,8/7/2015,1,0
Liberia,8/7/2015,10666,4806
Liberia,9/7/2015,10666,4806
Senegal,9/7/2015,1,0
Nigeria,9/7/2015,20,8
Liberia,9/7/2015,6,1
United Kingdom,9/7/2015,1,0
United States of America,9/7/2015,4,1
Italy,9/7/2015,1,0
Sierra Leone,9/7/2015,13169,3941
Guinea,9/7/2015,3744,2505
Mali,9/7/2015,8,6
Spain,9/7/2015,1,0
Senegal,10/7/2015,1,0
Mali,10/7/2015,8,6
Sierra Leone,10/7/2015,13177,3941
Nigeria,10/7/2015,20,8
Italy,10/7/2015,1,0
Guinea,10/7/2015,3751,2505
Liberia,10/7/2015,6,1
Spain,10/7/2015,1,0
United States of America,10/7/2015,4,1
United Kingdom,10/7/2015,1,0
Liberia,10/7/2015,10666,4806
Nigeria,13/7/2015,20,8
Liberia,13/7/2015,10666,4806
Spain,13/7/2015,1,0
Liberia,13/7/2015,6,1
Senegal,13/7/2015,1,0
Mali,13/7/2015,8,6
United Kingdom,13/7/2015,1,0
United States of America,13/7/2015,4,1
Guinea,13/7/2015,3754,2506
Italy,13/7/2015,1,0
Sierra Leone,13/7/2015,13201,3946
Senegal,14/7/2015,1,0
United Kingdom,14/7/2015,1,0
Liberia,14/7/2015,7,2
Guinea,14/7/2015,3760,2506
Spain,14/7/2015,1,0
Liberia,14/7/2015,10666,4806
Mali,14/7/2015,8,6
Italy,14/7/2015,1,0
United States of America,14/7/2015,4,1
Sierra Leone,14/7/2015,13209,3947
Nigeria,14/7/2015,20,8
Spain,15/7/2015,1,0
Nigeria,15/7/2015,20,8
Italy,15/7/2015,1,0
United Kingdom,15/7/2015,1,0
United States of America,15/7/2015,4,1
Guinea,15/7/2015,3760,2506
Liberia,15/7/2015,10666,4806
Liberia,15/7/2015,7,2
Mali,15/7/2015,8,6
Sierra Leone,15/7/2015,13209,3947
Senegal,15/7/2015,1,0
Mali,16/7/2015,8,6
Italy,16/7/2015,1,0
Guinea,16/7/2015,3762,2506
Liberia,16/7/2015,10666,4806
Spain,16/7/2015,1,0
United Kingdom,16/7/2015,1,0
Senegal,16/7/2015,1,0
United States of America,16/7/2015,4,1
Liberia,16/7/2015,6,2
Sierra Leone,16/7/2015,13209,3947
Nigeria,16/7/2015,20,8
United States of America,17/7/2015,4,1
Liberia,17/7/2015,10666,4806
United Kingdom,17/7/2015,1,0
Guinea,17/7/2015,3770,2509
Italy,17/7/2015,1,0
Nigeria,17/7/2015,20,8
Liberia,17/7/2015,7,2
Mali,17/7/2015,8,6
Spain,17/7/2015,1,0
Senegal,17/7/2015,1,0
Sierra Leone,17/7/2015,13209,3947
Nigeria,20/7/2015,20,8
Liberia,20/7/2015,10666,4806
Senegal,20/7/2015,1,0
Guinea,20/7/2015,3784,2511
United Kingdom,20/7/2015,1,0
United States of America,20/7/2015,4,1
Liberia,20/7/2015,7,2
Italy,20/7/2015,1,0
Sierra Leone,20/7/2015,13241,3949
Mali,20/7/2015,8,6
Spain,20/7/2015,1,0
Liberia,21/7/2015,7,2
Guinea,21/7/2015,3783,2512
United States of America,21/7/2015,4,1
Sierra Leone,21/7/2015,13250,3949
United Kingdom,21/7/2015,1,0
Spain,21/7/2015,1,0
Liberia,21/7/2015,10666,4806
Senegal,21/7/2015,1,0
Mali,21/7/2015,8,6
Nigeria,21/7/2015,20,8
Italy,21/7/2015,1,0
Sierra Leone,22/7/2015,13250,3949
Spain,22/7/2015,1,0
Guinea,22/7/2015,3783,2512
Nigeria,22/7/2015,20,8
Italy,22/7/2015,1,0
Liberia,22/7/2015,6,2
Senegal,22/7/2015,1,0
United States of America,22/7/2015,4,1
Liberia,22/7/2015,10666,4806
Mali,22/7/2015,8,6
United Kingdom,22/7/2015,1,0
United States of America,23/7/2015,4,1
Spain,23/7/2015,1,0
Sierra Leone,23/7/2015,13262,3949
Guinea,23/7/2015,3788,2516
Liberia,23/7/2015,10666,4806
United Kingdom,23/7/2015,1,0
Nigeria,23/7/2015,20,8
Mali,23/7/2015,8,6
Senegal,23/7/2015,1,0
Liberia,23/7/2015,7,2
Italy,23/7/2015,1,0
United States of America,24/7/2015,4,1
Liberia,24/7/2015,7,2
Mali,24/7/2015,8,6
Liberia,24/7/2015,10666,4806
Sierra Leone,24/7/2015,13264,3949
Italy,24/7/2015,1,0
Senegal,24/7/2015,1,0
Guinea,24/7/2015,3787,2517
Nigeria,24/7/2015,20,8
Spain,24/7/2015,1,0
United Kingdom,24/7/2015,1,0
Spain,27/7/2015,1,0
Mali,27/7/2015,8,6
Senegal,27/7/2015,1,0
Nigeria,27/7/2015,20,8
Liberia,27/7/2015,10666,4806
United States of America,27/7/2015,4,1
Guinea,27/7/2015,3792,2519
United Kingdom,27/7/2015,1,0
Italy,27/7/2015,1,0
Liberia,27/7/2015,7,2
Sierra Leone,27/7/2015,13283,3951
United States of America,28/7/2015,4,1
Spain,28/7/2015,1,0
Mali,28/7/2015,8,6
United Kingdom,28/7/2015,1,0
Sierra Leone,28/7/2015,13290,3951
Guinea,28/7/2015,3786,2520
Nigeria,28/7/2015,20,8
Senegal,28/7/2015,1,0
Italy,28/7/2015,1,0
Liberia,28/7/2015,10666,4806
Liberia,28/7/2015,7,2
Nigeria,29/7/2015,20,8
Sierra Leone,29/7/2015,13290,3951
Liberia,29/7/2015,10666,4806
United States of America,29/7/2015,4,1
Senegal,29/7/2015,1,0
Liberia,29/7/2015,6,2
Spain,29/7/2015,1,0
Mali,29/7/2015,8,6
United Kingdom,29/7/2015,1,0
Italy,29/7/2015,1,0
Guinea,29/7/2015,3786,2520
Guinea,30/7/2015,3785,2521
Senegal,30/7/2015,1,0
Spain,30/7/2015,1,0
Mali,30/7/2015,8,6
Sierra Leone,30/7/2015,13379,3951
Nigeria,30/7/2015,20,8
Italy,30/7/2015,1,0
United States of America,30/7/2015,4,1
Liberia,30/7/2015,6,2
United Kingdom,30/7/2015,1,0
Liberia,30/7/2015,10666,4806
Nigeria,31/7/2015,20,8
Senegal,31/7/2015,1,0
United States of America,31/7/2015,4,1
Liberia,31/7/2015,6,2
Sierra Leone,31/7/2015,13387,3951
United Kingdom,31/7/2015,1,0
Guinea,31/7/2015,3781,2521
Spain,31/7/2015,1,0
Italy,31/7/2015,1,0
Liberia,31/7/2015,10666,4806
Mali,31/7/2015,8,6
United Kingdom,3/8/2015,1,0
Liberia,3/8/2015,6,2
Sierra Leone,3/8/2015,13402,3951
Italy,3/8/2015,1,0
United States of America,3/8/2015,4,1
Nigeria,3/8/2015,20,8
Liberia,3/8/2015,10666,4806
Guinea,3/8/2015,3786,2522
Spain,3/8/2015,1,0
Senegal,3/8/2015,1,0
Mali,3/8/2015,8,6
Spain,4/8/2015,1,0
Sierra Leone,4/8/2015,13406,3951
Liberia,4/8/2015,10666,4806
United Kingdom,4/8/2015,1,0
Italy,4/8/2015,1,0
United States of America,4/8/2015,4,1
Senegal,4/8/2015,1,0
Mali,4/8/2015,8,6
Nigeria,4/8/2015,20,8
Guinea,4/8/2015,3784,2522
Liberia,4/8/2015,6,2
Guinea,5/8/2015,3784,2522
Spain,5/8/2015,1,0
Mali,5/8/2015,8,6
Sierra Leone,5/8/2015,13406,3951
Liberia,5/8/2015,10666,4806
Italy,5/8/2015,1,0
Senegal,5/8/2015,1,0
Liberia,5/8/2015,6,2
United States of America,5/8/2015,4,1
United Kingdom,5/8/2015,1,0
Nigeria,5/8/2015,20,8
Spain,6/8/2015,1,0
Guinea,6/8/2015,3792,2524
Senegal,6/8/2015,1,0
Mali,6/8/2015,8,6
Nigeria,6/8/2015,20,8
United Kingdom,6/8/2015,1,0
Sierra Leone,6/8/2015,13426,3951
Liberia,6/8/2015,10666,4806
Liberia,6/8/2015,6,2
United States of America,6/8/2015,4,1
Italy,6/8/2015,1,0
Liberia,7/8/2015,6,2
Spain,7/8/2015,1,0
Sierra Leone,7/8/2015,13428,3951
United States of America,7/8/2015,4,1
Liberia,7/8/2015,10666,4806
Guinea,7/8/2015,3795,2524
Senegal,7/8/2015,1,0
United Kingdom,7/8/2015,1,0
Nigeria,7/8/2015,20,8
Italy,7/8/2015,1,0
Mali,7/8/2015,8,6
Liberia,10/8/2015,6,2
United Kingdom,10/8/2015,1,0
Sierra Leone,10/8/2015,13465,3951
Senegal,10/8/2015,1,0
Liberia,10/8/2015,10666,4806
Spain,10/8/2015,1,0
Guinea,10/8/2015,3791,2524
Mali,10/8/2015,8,6
United States of America,10/8/2015,4,1
Italy,10/8/2015,1,0
Nigeria,10/8/2015,20,8
Spain,11/8/2015,1,0
Guinea,11/8/2015,3787,2524
Italy,11/8/2015,1,0
Liberia,11/8/2015,6,2
United States of America,11/8/2015,4,1
Sierra Leone,11/8/2015,13470,3951
Senegal,11/8/2015,1,0
Nigeria,11/8/2015,20,8
United Kingdom,11/8/2015,1,0
Mali,11/8/2015,8,6
Liberia,11/8/2015,10666,4806
Liberia,12/8/2015,6,2
Spain,12/8/2015,1,0
